labelling_id,labelling_name_fr,labelling_name_en
eca41ba7482963fb8c17c89adde3317e_lab,Bouteille d'eau (toutes marques),Bottle of water
ce629fd2f8994f6629d9c279639ab219_lab,Burrito,Burrito
539af0ef68c9d814332f605eaf559d44_lab,Club sandwich (le sandwich triangle),Club sandwich
d9a028f3e03cffb997f02c4a2b668854_lab,Fajitas,Fajitas
3b2ef2db1c497ce36ccac3717841e55a_lab,Galette au sarrasin (tous types),Buckwheat pancake
834e2237fed0e4038d7f85bf4d80241a_lab,Galette au sarrasin nature,Plain buckwheat pancake
0b8c7f05f218911cd1ca2accb9e41b3b_lab,Verre de Jus de Banane,Juice
5130d8f168106a63e0fee58d9fdc37bx_lab,Part de pizza 4 fromages,Pizza slice 4 cheeses
fdc43b4199ba0ce944bbf5f9fe5a4637_lab,Part de pizza calzone,Calzone pizza slice
e8ab774481e422685e996d0baee886fa_lab,Part de pizza pepperoni,Pepperoni pizza slice
f3a0618f1219c2acfa4523dd8d33e0cx_lab,Part de pizza royale,Royal pizza slice
3a0ed09f1dfbaf7c1c6d78189f8590ff_lab,Part de pizza savoyarde,"""Savoyarde"" pizza slice"
5130d8f168106a63e0fee58d9fdc37b8_lab,Pizza 4 fromages (entière),Pizza 4 cheeses
0d0d38c777814ccc82d249ed274c73a2_lab,Pizza Calzone (entière),Pizza Calzone
56b4cf09db26c5a5b3b80f63fdb50a88_lab,Pizza pepperoni (entière),Pepperoni Pizza
f3a0618f1219c2acfa4523dd8d33e0cd_lab,Pizza Royale (entière),Royal pizza
9e32236a64ef2d77993e8081535f5c6c_lab,Pizza savoyarde (entière),Savoyard pizza
f0de52790a0c501f57945f5018c96e9c_lab,Pulled pork sandwich,Pulled pork sandwich
627037f397648932252fd784e29b787b_lab,Quesadilla,Quesadilla
57753eccf5c34188abe9c2367dfab459_lab,Salade César,Caesar Salad
c4fd512774abbe73f98c23297266d988_lab,Salade composée (avec base de salade verte),Mixed salad
f46642c827498762065ef178e436545e_lab,Salade de pâtes,Pasta salad
930c403e0f07afcba6669d101d790f11_lab,Salade de pommes de terre,Potato salad
d9a377eaeeaacb8b62380b22c862aa10_lab,Salade de quinoa,Salad of quinoa
34cbc0564774c41e98f0da8e51d92498_lab,Salade grecque,Greek salad
fbe4be96d8be00af8868cef5229930fe_lab,Salade nordique,Nordic salad
f16997455222ae2884a515dab4b9c630_lab,Sandwich baguette (tous types de garnitures),Sandwich baguette
4d2f4b9fa48af3a3618b2cbac02fa9bd_lab,Smoothie (tous types),Smoothie
0cde5193ea6a31d8bd4c840840363be4_lab,Tacos,Tacos
32d1858d300171fb8de8c431a3e44196_lab,Tartine au beurre,Toast with butter
cffa196217d38e725b8c5bd16b26acb7_lab,Tartine beurre confiture abricot,Toast with butter apricot jam
670521911641584239f2a4162bc9f8c0_lab,Tartine beurre confiture fruits rouges,Toast with butter strawberry jam
cdef746d7d93b4678cbe3b8d9e35d862_lab,Tartine au miel,Toast with honey
bff9a252fa8d34dbe8c3c8bd944986e5_lab,Tartine au Nutella,Toast with Nutella
b09a6ca1adcebc4451effda651b7e67b_lab,Tartine Wasa (sans rien dessus),Wasa toast
33c42dd038fe3b82cbd8fea1e1302621_lab,Verre d'eau,Glass of water
677cc8956ea9c0424a4d0020ff8d79cd_lab,Verre d'eau gazeuse,Glass of sparkling water
0b2662aae0e67fb20626a8062ecd2a4a_lab,Konjac,Konjac
ddc8757eec1a015d7c819d31d80d426b_lab,Bretzel,Pretzel
8d322a592c0f2c5dfeddb36b99ededa4_lab,Chips,Chips
a21cc69672b6cc7c0be80116bca99d73_lab,Chips de crevette,Prawn crackers
cf2e04c1e2ff5c45490124a1834df492_lab,Crackers (type Belin),Crackers (Belin like)
97d5e61ae167d9ae6916d73946f1da92_lab,Nachos (Tortilla chips triangle),Nachos
04236af8c0635e104a76de5af1057eeb_lab,Paquet de chips,Crisps
6e93cf5bb1a607e998829136ecd97127_lab,Petits fours (tous types),Small Pastery
3324584fa73c59b57544c122cf4e3f38_lab,Pop-corn,Pop corn
1d36e72bdfc728b25e778df6b451656d_lab,Pringles,Pringles
f62fe73c13880e59127148f1ff798992_lab,Accra de morue,Cod fish cake
